id,id_breaker,ad_account_id,ad_account_name,dimension_type,dimension_value,pulse_start_date,pulse_end_date,internal_id,cuts,interval,interval_start_date,interval_end_date,int_pulse_start_date,int_pulse_end_date,is_running_pulse,control_reach,%CtrlReach,xMinReachFor1Conversion,ctrl_amount_spent_usd,ctrl_conv,ctrl_revenue,test_reach,test_amount_spent_usd,test_conv,test_revenue,orders(lt),orders(i),revenue(lt),revenue(i),conversion_type,CR Test,CR Control,Base Conv,%inc,Std Error Test,St. Error Control,z score,P value,Normalised p Value,NormP*Reach,inc*NormP*reach,inc*Test Reach,Stat Sig
80eeb1792c02a9af375f78f7b69a96ce581ec540,3ab244e47bec8a87e3369cbeaeb0664cba1921e6,124170767729247,Beer Hawk Ltd,Adset,"Oktoberfest-OktoberfestWebsiteVisitorsLookalikes0to2PC-facebook,instagram,audience_network,messenger-desktopfeed,mobilefeed,rightcolumn,instagramstream,mobileexternal-All-1865-GB",43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,1482,0.349363507779349,1.74681753889675,3.87,0,0,4242,28.09,5,335.34,5,5,335.34,335.34,Beer Hawk - Orders,0.001178689297501,0,0,100%,0.0005268151283,0,-2.23738695831259,0.5,0.873408769448373,3705,3705,4242,
80eeb1792c02a9af375f78f7b69a96ce581ec540,44787990264b5bfa10683aa68e43e007be1a5905,124170767729247,Beer Hawk Ltd,Adset,EC_CA_AAL001_D000_P00_1865_U_CS00_IN000_B000_DM000_MC000_L00_ PV00_MD00,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,3148,0.244504854368932,5.3791067961165,13.07,5,230.52,12875,165,22,857.47,22,1.550508259212,857.47,60.4324689557506,Beer Hawk - Orders,0.001708737864078,0.001588310038119,20.4494917407878,7%,0.000363992753474,0.000709749519443,-0.15097951718553,0.439995936792544,3.01229980582524,38783.36,2733.36,907.399719879867,
7bf4a12d226c85cae73cbe9af7c35fe9dc5e1ffd,74416a12180ff76b154481fb85050ee08ebeb259,124170767729247,Beer Hawk Ltd,Campaign,BHK_[EC]_ECCA_STA_UK_NFA,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,6132,0.199123234291281,31.4614710180224,33.5899999999999,23,1326.73,30795,1051.41999999999,158,9735.07,158,42.493639921696,9735.07,2618.21872906648,Beer Hawk - Orders,0.005130703036207,0.003750815394651,115.506360078278,27%,0.000407128353753,0.000780630941661,-1.56730733188697,0.058521436217214,29.5737827569411,910724.64,244936.74,8282.22557841413,0.94
80eeb1792c02a9af375f78f7b69a96ce581ec540,72f0275b8408c93c03f4d0728c1564cc375cbb04,124170767729247,Beer Hawk Ltd,Adset,EC_CA_VAC003_D030_P00_1865_U_CS00_IN000_B000_DM000_MC000_L00_ PV00_MD00 - Perfect Draft,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,83,0.095074455899198,2.66208476517755,1.1,3,151.54,873,258.22,28,1956.41,28,-3.55421686746,1956.41,-248.339479345264,Beer Hawk - Orders,0.032073310423826,0.036144578313253,31.5542168674699,-13%,0.005963291024447,0.020487477154162,0.190801602738073,0.575659483524322,1.54400916380298,1347.92,-171.1,-110.815404475043,
80eeb1792c02a9af375f78f7b69a96ce581ec540,a0c5b786d205f6d916e7dc54bb61002a79de3b64,124170767729247,Beer Hawk Ltd,Adset,EC_CA_ALC001_D000_P0000_1865_U_CS00_IN000_B000_DM000_MC000_L00_ PV00_MD00,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,1065,0.120981483585141,6.17005566284221,13.1899999999999,6,267.51,8803,407.049999999999,51,3326.58,51,1.405633802814,3326.58,91.6853587404901,Beer Hawk - Orders,0.005793479495626,0.005633802816901,49.5943661971831,3%,0.000808896003593,0.00229350237177,-0.065657406754424,0.473825291843825,3.27012950130637,28786.95,793.409999999999,242.623418945042,
7bf4a12d226c85cae73cbe9af7c35fe9dc5e1ffd,751aa05ec6f4ec155697ebe31736306b3ad95205,124170767729247,Beer Hawk Ltd,Campaign,BHK_[EC]_RTCA_DPA_UK_NFA,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,508,0.095148904289193,11.0372728975464,8,7,321.7,5339,1053.38,116,8232.94,116,42.431102362156,8232.94,3011.48896449559,Beer Hawk - Orders,0.02172691515265,0.013779527559055,73.5688976377953,37%,0.001995258300715,0.00517216432623,-1.43359534761543,0.075843885966096,10.1542910657426,54213.76,19830.6,1952.92806475699,0.92
7bf4a12d226c85cae73cbe9af7c35fe9dc5e1ffd,f686b1a81c9dd0bdbd1cc38cce70bcf06772cdba,124170767729247,Beer Hawk Ltd,Campaign,BHK_[AQ]_WSCA_DPA_UK_NFA,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,3085,0.120179197506817,21.9927931437476,32.21,23,1646.29,25670,1260.47,183,15030.18,183,-8.380875202482,15030.18,-688.339141261425,Beer Hawk - Orders,0.007128944292949,0.007455429497569,191.380875202593,-5%,0.000525104936782,0.001548758698711,0.199641691413294,0.579119590466558,12.7558200233736,327441.9,-14995.9,-1175.61238497578,
7bf4a12d226c85cae73cbe9af7c35fe9dc5e1ffd,226df1acb896c8baf179b57f7636ffacebc2acb6,124170767729247,Beer Hawk Ltd,Campaign,BHK_[AQ]_CALA_STA_UK_NFA,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,5490,0.106884199049918,6.62682034109493,41.15,3,230.25,51364,769.38,62,4979.21,62,33.932240437138,4979.21,2725.09275656454,Beer Hawk - Orders,0.001207071100382,0.000546448087432,28.0677595628415,55%,0.000153205634207,0.000315405738611,-1.88401597745616,0.029781407155439,6.42801573086208,330168.6,180699.36,28111.219319584,0.97
80eeb1792c02a9af375f78f7b69a96ce581ec540,ca86f1ecc0e2a3f47c69d96ff3c98d513a4e403b,124170767729247,Beer Hawk Ltd,Adset,EC_CA_VAC003_D060_P00_1865_U_CS00_IN000_B000_DM000_MC000_L00_ PV00_MD00,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,201,0.092926490984743,2.1373092926491,2.33,1,43.3,2163,263.28,23,1517.95,23,12.238805970146,1517.95,807.734587929701,Beer Hawk - Orders,0.010633379565418,0.004975124378109,10.7611940298507,53%,0.002205393171392,0.004962733015461,-1.04190206314847,0.148728543752243,1.81671289875173,3929.55,2091,1150.97988319273,0.85
7bf4a12d226c85cae73cbe9af7c35fe9dc5e1ffd,8eea0943adbee637d52858591d08f75d350e9efa,124170767729247,Beer Hawk Ltd,Campaign,BHK_[EC]_RTCA_STA_UK_RHS,43560,43804,3,Week,201936,02/09/2019,08/09/2019,02/09/2019,08/09/2019,1,3311,0.238167170191339,6.90684793554884,15.04,5,230.52,13902,186.52,29,1229.44,29,8.006342494691,1229.44,339.424748850789,Beer Hawk - Orders,0.002086030786937,0.001510117789188,20.9936575052854,28%,0.000386961952602,0.000674835088069,-0.740334946983085,0.229548390434077,5.31827291037261,73934.63,20411.93,3838.07494350076,0.77
